server  , avg_latency, total_packets_dropped, server_utilization
server_1,57.09,59,0.83
server_2,42.05,228,1.59
server_3,39.10,46,0.77
server_1,33.48,40,0.80
server_2,56.73,103,1.17
server_3,48.32,190,1.10
server_1,43.53,0,0.47
server_2,46.09,132,1.27
server_3,48.23,324,1.39
server_1,48.86,235,1.19
server_2,42.82,73,1.07
server_3,34.61,25,0.73
server_1,49.18,83,0.88
server_2,48.80,324,1.91
server_3,27.59,0,0.51
server_1,43.19,36,0.79
server_2,44.61,325,1.91
server_3,29.45,0,0.61
server_1,42.81,0,0.65
server_2,49.09,252,1.67
server_3,38.28,113,0.92
server_1,45.03,0,0.55
server_2,45.42,329,1.92
server_3,40.90,84,0.86
server_1,37.68,0,0.70
server_2,51.17,182,1.43
server_3,47.82,158,1.02
server_1,0,0,0.00
server_2,47.43,992,4.13
server_3,0,0,0.00
server_1,47.85,104,0.92
server_2,38.67,189,1.46
server_3,40.29,41,0.76
server_1,41.56,0,0.60
server_2,48.65,253,1.67
server_3,41.05,136,0.98
server_1,41.73,75,0.87
server_2,41.52,0,0.80
server_3,44.72,266,1.26
server_1,38.25,19,0.75
server_2,45.11,170,1.39
server_3,59.30,145,1.00
server_1,41.51,0,0.67
server_2,51.45,159,1.36
server_3,41.21,195,1.11
server_1,46.13,0,0.68
server_2,52.45,199,1.49
server_3,36.44,151,1.01
server_1,50.73,21,0.76
server_2,49.37,181,1.43
server_3,44.92,132,0.97
server_1,37.10,54,0.82
server_2,51.91,161,1.36
server_3,40.47,118,0.94
server_1,36.40,152,1.02
server_2,38.85,2,0.83
server_3,52.39,178,1.07
server_1,55.09,0,0.67
server_2,34.76,307,1.85
server_3,38.95,51,0.79
server_1,41.58,0,0.63
server_2,39.10,231,1.60
server_3,50.62,145,0.99
server_1,34.61,0,0.71
server_2,39.79,259,1.69
server_3,50.34,74,0.84
server_1,40.36,0,0.70
server_2,53.45,246,1.65
server_3,44.17,92,0.88
server_1,46.72,55,0.82
server_2,46.11,100,1.16
server_3,44.82,181,1.08
server_1,45.24,252,1.22
server_2,45.41,31,0.93
server_3,34.15,49,0.78
server_1,44.30,50,0.81
server_2,44.95,139,1.29
server_3,51.21,143,0.99
server_1,42.75,0,0.60
server_2,50.07,351,2.00
server_3,42.36,39,0.76
server_1,41.93,8,0.73
server_2,42.57,147,1.32
server_3,55.97,177,1.07
server_1,47.97,215,1.15
server_2,37.63,37,0.95
server_3,48.22,81,0.85
server_1,44.44,72,0.86
server_2,38.36,57,1.01
server_3,42.10,204,1.13
server_1,45.93,74,0.86
server_2,47.02,90,1.13
server_3,42.63,169,1.05
server_1,46.89,107,0.93
server_2,41.69,84,1.11
server_3,47.07,142,0.99
server_1,50.00,17,0.75
server_2,46.96,205,1.51
server_3,43.61,111,0.92
server_1,41.64,83,0.88
server_2,39.54,236,1.61
server_3,50.70,13,0.70
server_1,37.25,127,0.97
server_2,44.19,142,1.30
server_3,45.55,65,0.82
server_1,41.60,0,0.69
server_2,35.94,88,1.12
server_3,48.98,256,1.24
server_1,0,0,0.00
server_2,0,0,0.00
server_3,47.41,937,2.76
server_1,38.48,42,0.80
server_2,46.87,162,1.37
server_3,46.94,131,0.96
server_1,35.87,108,0.93
server_2,45.32,217,1.55
server_3,53.35,8,0.69
server_1,46.18,77,0.87
server_2,42.62,121,1.23
server_3,43.13,134,0.97
server_1,40.54,14,0.74
server_2,42.90,231,1.60
server_3,47.93,87,0.87
server_1,52.75,76,0.87
server_2,51.06,113,1.20
server_3,31.33,144,0.99
server_1,47.44,0,0.64
server_2,32.98,109,1.19
server_3,44.82,262,1.26
server_1,44.87,117,0.95
server_2,50.67,235,1.61
server_3,46.29,0,0.63
server_1,55.07,133,0.98
server_2,36.30,117,1.21
server_3,31.23,84,0.86
server_1,41.38,135,0.98
server_2,49.81,206,1.51
server_3,34.73,0,0.65
server_1,38.42,45,0.81
server_2,41.90,222,1.57
server_3,52.06,65,0.82
server_1,36.57,77,0.87
server_2,47.71,177,1.42
server_3,47.56,78,0.85
server_1,48.61,32,0.78
server_2,41.59,278,1.75
server_3,41.70,23,0.72
server_1,49.32,103,0.92
server_2,35.64,22,0.90
server_3,41.24,207,1.13
server_1,41.75,112,0.94
server_2,48.21,169,1.39
server_3,42.86,53,0.79
server_1,40.21,81,0.88
server_2,58.81,61,1.03
server_3,33.35,192,1.10
server_1,52.47,184,1.08
server_2,49.28,0,0.81
server_3,33.60,155,1.02
server_1,31.55,0,0.57
server_2,48.84,341,1.96
server_3,51.76,62,0.81
server_1,53.02,175,1.07
server_2,38.23,171,1.40
server_3,44.93,0,0.65
server_1,50.72,157,1.03
server_2,38.47,8,0.85
server_3,36.13,168,1.05
server_1,45.94,50,0.82
server_2,28.71,172,1.40
server_3,49.73,110,0.92
server_1,38.94,27,0.77
server_2,34.87,229,1.59
server_3,49.53,76,0.84
server_1,33.53,3,0.72
server_2,45.92,144,1.31
server_3,58.03,187,1.09
server_1,44.11,199,1.11
server_2,44.10,120,1.23
server_3,51.30,15,0.70
server_1,31.99,41,0.80
server_2,42.50,94,1.14
server_3,46.30,199,1.12
server_1,43.00,135,0.98
server_2,37.78,200,1.49
server_3,46.30,0,0.67
server_1,34.91,0,0.64
server_2,51.20,108,1.19
server_3,46.59,260,1.25
server_1,43.46,0,0.63
server_2,43.74,198,1.49
server_3,48.68,176,1.06
server_1,39.95,26,0.77
server_2,53.64,95,1.14
server_3,52.75,211,1.14
server_1,40.89,32,0.78
server_2,56.28,193,1.47
server_3,46.41,108,0.91
server_1,37.58,29,0.77
server_2,41.24,176,1.41
server_3,46.00,128,0.96
server_1,40.47,78,0.87
server_2,35.51,83,1.10
server_3,48.81,174,1.06
server_1,49.36,27,0.77
server_2,44.77,255,1.68
server_3,41.51,51,0.78
server_1,40.81,123,0.96
server_2,48.04,216,1.55
server_3,39.33,0,0.66
server_1,38.92,45,0.81
server_2,44.92,132,1.27
server_3,32.40,156,1.02
server_1,42.72,0,0.64
server_2,50.74,211,1.53
server_3,48.13,161,1.03
server_1,40.87,46,0.81
server_2,37.04,208,1.52
server_3,59.44,79,0.85
server_1,43.76,0,0.57
server_2,38.83,260,1.69
server_3,47.81,145,1.00
server_1,43.60,0,0.62
server_2,47.29,175,1.41
server_3,46.80,206,1.13
server_1,44.96,161,1.04
server_2,38.71,145,1.31
server_3,41.34,27,0.73
server_1,40.08,0,0.62
server_2,44.28,133,1.27
server_3,45.43,249,1.23
server_1,41.75,65,0.85
server_2,40.76,211,1.53
server_3,42.56,58,0.80
server_1,54.62,94,0.90
server_2,42.14,146,1.31
server_3,34.87,94,0.88
server_1,44.69,0,0.66
server_2,43.93,149,1.32
server_3,44.54,214,1.15
server_1,37.52,0,0.70
server_2,49.79,256,1.68
server_3,46.96,84,0.86
server_1,0,0,0.00
server_2,0,0,0.00
server_3,47.41,937,2.76
server_1,46.79,66,0.85
server_2,47.42,0,0.81
server_3,46.94,272,1.28
server_1,47.14,887,2.49
server_2,0,0,0.00
server_3,0,0,0.00
server_1,46.51,50,0.82
server_2,41.47,204,1.51
server_3,45.24,78,0.85
server_1,54.56,23,0.76
server_2,36.56,43,0.97
server_3,41.07,266,1.26
server_1,40.49,137,0.99
server_2,50.77,146,1.31
server_3,45.56,51,0.78
server_1,39.63,180,1.08
server_2,47.94,166,1.38
server_3,42.68,0,0.65
server_1,49.02,0,0.69
server_2,39.93,335,1.94
server_3,43.81,11,0.70
server_1,39.65,11,0.74
server_2,46.05,200,1.49
server_3,42.81,123,0.95
server_1,48.51,246,1.21
server_2,36.39,62,1.03
server_3,48.11,27,0.73
server_1,52.10,132,0.98
server_2,40.43,121,1.23
server_3,34.54,81,0.85
server_1,50.91,0,0.64
server_2,41.67,214,1.54
server_3,49.39,156,1.02
server_1,40.45,140,1.00
server_2,44.16,144,1.31
server_3,48.76,53,0.79
server_1,30.54,61,0.84
server_2,40.14,15,0.88
server_3,44.57,256,1.24
server_1,43.67,0,0.67
server_2,42.23,136,1.28
server_3,49.10,217,1.16
server_1,43.17,0,0.58
server_2,45.67,104,1.17
server_3,47.23,296,1.33
server_1,37.16,0,0.61
server_2,39.51,314,1.87
server_3,33.34,72,0.83
server_1,41.08,33,0.78
server_2,46.55,129,1.26
server_3,40.11,172,1.06
server_1,40.22,107,0.93
server_2,55.12,165,1.37
server_3,42.61,63,0.81
server_1,48.92,54,0.82
server_2,40.09,337,1.95
server_3,35.45,0,0.54
server_1,50.58,239,1.19
server_2,41.94,63,1.04
server_3,40.55,32,0.74
server_1,37.57,93,0.90
server_2,49.49,166,1.38
server_3,48.52,76,0.84
server_1,38.08,187,1.09
server_2,50.92,231,1.60
server_3,39.12,0,0.48
server_1,50.73,88,0.89
server_2,32.53,121,1.23
server_3,49.11,123,0.95
